@relation australian-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.instance.RemoveFolds-S1-V-N10-F2

@attribute A1 numeric
@attribute 'A2x\'(-inf-20.4]\'' numeric
@attribute 'A2x\'(20.4-27.05]\'' numeric
@attribute 'A2x\'(27.05-33.7]\'' numeric
@attribute 'A2x\'(33.7-40.35]\'' numeric
@attribute 'A2x\'(40.35-47]\'' numeric
@attribute 'A2x\'(47-53.65]\'' numeric
@attribute 'A2x\'(53.65-60.3]\'' numeric
@attribute 'A2x\'(60.3-66.95]\'' numeric
@attribute 'A2x\'(66.95-73.6]\'' numeric
@attribute 'A2x\'(73.6-inf)\'' numeric
@attribute 'A3x\'(-inf-2.8]\'' numeric
@attribute 'A3x\'(2.8-5.6]\'' numeric
@attribute 'A3x\'(5.6-8.4]\'' numeric
@attribute 'A3x\'(8.4-11.2]\'' numeric
@attribute 'A3x\'(11.2-14]\'' numeric
@attribute 'A3x\'(14-16.8]\'' numeric
@attribute 'A3x\'(16.8-19.6]\'' numeric
@attribute 'A3x\'(19.6-22.4]\'' numeric
@attribute 'A3x\'(22.4-25.2]\'' numeric
@attribute 'A3x\'(25.2-inf)\'' numeric
@attribute A4x1 numeric
@attribute A4x2 numeric
@attribute A4x3 numeric
@attribute A5x1 numeric
@attribute A5x2 numeric
@attribute A5x3 numeric
@attribute A5x4 numeric
@attribute A5x5 numeric
@attribute A5x6 numeric
@attribute A5x7 numeric
@attribute A5x8 numeric
@attribute A5x9 numeric
@attribute A5x10 numeric
@attribute A5x11 numeric
@attribute A5x12 numeric
@attribute A5x13 numeric
@attribute A5x14 numeric
@attribute A6x1 numeric
@attribute A6x2 numeric
@attribute A6x3 numeric
@attribute A6x4 numeric
@attribute A6x5 numeric
@attribute A6x6 numeric
@attribute A6x7 numeric
@attribute A6x8 numeric
@attribute A6x9 numeric
@attribute 'A7x\'(-inf-2.85]\'' numeric
@attribute 'A7x\'(2.85-5.7]\'' numeric
@attribute 'A7x\'(5.7-8.55]\'' numeric
@attribute 'A7x\'(8.55-11.4]\'' numeric
@attribute 'A7x\'(11.4-14.25]\'' numeric
@attribute 'A7x\'(14.25-17.1]\'' numeric
@attribute 'A7x\'(17.1-19.95]\'' numeric
@attribute 'A7x\'(19.95-22.8]\'' numeric
@attribute 'A7x\'(22.8-25.65]\'' numeric
@attribute 'A7x\'(25.65-inf)\'' numeric
@attribute A8 numeric
@attribute A9 numeric
@attribute 'A10x\'(-inf-6.7]\'' numeric
@attribute 'A10x\'(6.7-13.4]\'' numeric
@attribute 'A10x\'(13.4-20.1]\'' numeric
@attribute 'A10x\'(20.1-26.8]\'' numeric
@attribute 'A10x\'(26.8-33.5]\'' numeric
@attribute 'A10x\'(33.5-40.2]\'' numeric
@attribute 'A10x\'(40.2-46.9]\'' numeric
@attribute 'A10x\'(46.9-53.6]\'' numeric
@attribute 'A10x\'(53.6-60.3]\'' numeric
@attribute 'A10x\'(60.3-inf)\'' numeric
@attribute A11 numeric
@attribute A12x1 numeric
@attribute A12x2 numeric
@attribute A12x3 numeric
@attribute 'A13x\'(-inf-200]\'' numeric
@attribute 'A13x\'(200-400]\'' numeric
@attribute 'A13x\'(400-600]\'' numeric
@attribute 'A13x\'(600-800]\'' numeric
@attribute 'A13x\'(800-1000]\'' numeric
@attribute 'A13x\'(1000-1200]\'' numeric
@attribute 'A13x\'(1200-1400]\'' numeric
@attribute 'A13x\'(1400-1600]\'' numeric
@attribute 'A13x\'(1600-1800]\'' numeric
@attribute 'A13x\'(1800-inf)\'' numeric
@attribute 'A14x\'(-inf-10001]\'' numeric
@attribute 'A14x\'(10001-20001]\'' numeric
@attribute 'A14x\'(20001-30001]\'' numeric
@attribute 'A14x\'(30001-40001]\'' numeric
@attribute 'A14x\'(40001-50001]\'' numeric
@attribute 'A14x\'(50001-60001]\'' numeric
@attribute 'A14x\'(60001-70001]\'' numeric
@attribute 'A14x\'(70001-80001]\'' numeric
@attribute 'A14x\'(80001-90001]\'' numeric
@attribute 'A14x\'(90001-inf)\'' numeric
@attribute class {1,0}

@data
1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
